,Utilisateur,Date,Heure,Action,Attribut
36811,mwollenburger,2009-04-05,17:35:53,Upload un ficher avec le message,IDFORUMTEST=354
36812,mwollenburger,2009-04-05,17:35:53,Upload un ficher avec le message,IDMSGTEST=2590
36813,mwollenburger,2009-04-05,17:35:53,Upload un ficher avec le message,IDFile=47
36814,mwollenburger,2009-04-05,17:38:42,Afficher une structure (cours/forum),IDFORUMTEST=329
36815,mwollenburger,2009-04-05,17:38:57,Afficher le fil de discussion,IDFORUMTEST=329
36816,mwollenburger,2009-04-05,17:38:57,Afficher le fil de discussion,IDMSGTEST=2556
36817,mwollenburger,2009-04-05,17:39:50,Afficher le fil de discussion,IDFORUMTEST=329
36818,mwollenburger,2009-04-05,17:39:50,Afficher le fil de discussion,IDMSGTEST=2588
36819,mwollenburger,2009-04-05,17:40:48,Afficher une structure (cours/forum),IDFORUMTEST=354
36820,tdelille,2009-04-05,18:49:34,Connexion,login=tdelille
36821,tdelille,2009-04-05,18:49:38,Afficher une structure (cours/forum),IDFORUMTEST=329
36822,tdelille,2009-04-05,18:49:45,Afficher le contenu d''un message,IDFORUMTEST=329
36823,tdelille,2009-04-05,18:49:45,Afficher le contenu d''un message,IDMSGTEST=2589
36824,tdelille,2009-04-05,18:50:08,Afficher une structure (cours/forum),IDFORUMTEST=354
36825,tdelille,2009-04-05,18:50:16,Afficher le contenu d''un message,IDFORUMTEST=354
36826,tdelille,2009-04-05,18:50:16,Afficher le contenu d''un message,IDMSGTEST=2590
36827,tdelille,2009-04-05,18:50:30,Download un fichier dans le message,IDFORUMTEST=354
36828,tdelille,2009-04-05,18:50:30,Download un fichier dans le message,IDMSGTEST=2590
36829,tdelille,2009-04-05,18:50:30,Download un fichier dans le message,IDFile=47
36830,tdelille,2009-04-05,18:56:41,Répondre à un message test,IDFORUMTEST=354
36831,tdelille,2009-04-05,18:56:41,Répondre à un message test,IDMSGTEST=2591
36832,tdelille,2009-04-05,18:56:41,Répondre à un message test,IDPARENTTEST=2590
36833,tdelille,2009-04-05,18:56:41,Citer un message,IDFORUMTEST=354
36834,tdelille,2009-04-05,18:56:41,Citer un message,IDMSGTEST=2590
36835,tdelille,2009-04-05,18:58:57,Afficher une structure (cours/forum),IDFORUMTEST=329
36836,tdelille,2009-04-05,18:59:07,Afficher le contenu d''un message,IDFORUMTEST=329
36837,tdelille,2009-04-05,18:59:07,Afficher le contenu d''un message,IDMSGTEST=2589
36838,tdelille,2009-04-05,19:01:34,Répondre à un message test,IDFORUMTEST=329
36839,tdelille,2009-04-05,19:01:34,Répondre à un message test,IDMSGTEST=2592
36840,tdelille,2009-04-05,19:01:34,Répondre à un message test,IDPARENTTEST=2589
36841,tdelille,2009-04-05,19:01:34,Citer un message,IDFORUMTEST=329
36842,tdelille,2009-04-05,19:01:34,Citer un message,IDMSGTEST=2589
36843,tdelille,2009-04-05,19:04:08,Répondre à un message test,IDFORUMTEST=329
36844,tdelille,2009-04-05,19:04:08,Répondre à un message test,IDMSGTEST=2593
36845,tdelille,2009-04-05,19:04:08,Répondre à un message test,IDPARENTTEST=2592
36846,tdelille,2009-04-05,21:45:56,Connexion,login=tdelille
